timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778502842855,34,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,31,0,15
1778502842895,84,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,66,0,0
1778502842895,66,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,1,1,http://localhost:8080/login,66,0,0
1778502842962,2,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,1,1,http://localhost:8080/,2,0,0
1778502842965,14,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,1,1,http://localhost:8080/dashboard,11,0,0
1778502843002,11,GET Login Page,200,,Calendar Day Users 1-2,text,true,,21823,244,2,2,http://localhost:8080/login,10,0,1
1778502842982,33,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,2,2,http://localhost:8080/calendar/day/2026-01-20,24,0,0
1778502843018,14,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,2,2,http://localhost:8080/login,13,0,0
1778502843014,94,POST Login,200,,Calendar Day Users 1-2,text,true,,37604,1048,2,2,http://localhost:8080/dashboard,71,0,0
1778502843014,71,POST Login-0,302,,Calendar Day Users 1-2,,true,,400,455,2,2,http://localhost:8080/login,71,0,0
1778502843085,3,POST Login-1,302,,Calendar Day Users 1-2,,true,,356,292,2,2,http://localhost:8080/,3,0,0
1778502843088,20,POST Login-2,200,,Calendar Day Users 1-2,text,true,,36848,301,2,2,http://localhost:8080/dashboard,15,0,0
1778502843033,94,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,2,2,http://localhost:8080/dashboard,70,0,0
1778502843033,70,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,2,2,http://localhost:8080/login,70,0,0
1778502843104,2,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,2,2,http://localhost:8080/,2,0,0
1778502843106,21,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,2,2,http://localhost:8080/dashboard,18,0,0
1778502843109,41,GET Calendar Day,200,,Calendar Day Users 1-2,text,true,,88919,315,2,2,http://localhost:8080/calendar/day/2026-01-20,27,0,0
1778502843129,38,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,2,2,http://localhost:8080/calendar/day/2026-01-20,20,0,0
1778502843152,15,GET Login Page,200,,Calendar Day Users 1-2,text,true,,21823,244,2,2,http://localhost:8080/login,14,0,0
1778502843168,14,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,2,2,http://localhost:8080/login,13,0,0
1778502843201,15,GET Login Page,200,,Calendar Day Users 1-3,text,true,,21823,244,3,3,http://localhost:8080/login,14,0,1
1778502843168,93,POST Login,200,,Calendar Day Users 1-2,text,true,,37604,1048,3,3,http://localhost:8080/dashboard,69,0,0
1778502843168,69,POST Login-0,302,,Calendar Day Users 1-2,,true,,400,455,3,3,http://localhost:8080/login,69,0,0
1778502843237,3,POST Login-1,302,,Calendar Day Users 1-2,,true,,356,292,3,3,http://localhost:8080/,3,0,0
1778502843240,21,POST Login-2,200,,Calendar Day Users 1-2,text,true,,36848,301,3,3,http://localhost:8080/dashboard,16,0,0
