timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778502826162,33,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,30,0,14
1778502826200,100,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,76,0,0
1778502826200,76,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,1,1,http://localhost:8080/login,76,0,0
1778502826276,4,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,1,1,http://localhost:8080/,4,0,0
1778502826280,20,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,1,1,http://localhost:8080/dashboard,15,0,0
1778502826302,44,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,29,0,0
1778502826349,15,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,14,0,0
1778502826365,94,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,74,0,0
1778502826365,74,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,1,1,http://localhost:8080/login,74,0,0
1778502826439,3,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,1,1,http://localhost:8080/,3,0,0
1778502826443,16,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,1,1,http://localhost:8080/dashboard,12,0,0
1778502826460,51,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,32,0,0
1778502826513,15,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,1,1,http://localhost:8080/login,14,0,0
1778502826613,9,GET Login Page,200,,Calendar Day Users 1-2,text,true,,21823,244,2,2,http://localhost:8080/login,9,0,1
1778502826529,98,POST Login,200,,Calendar Day Users 1-1,text,true,,37604,1048,2,2,http://localhost:8080/dashboard,75,0,0
1778502826529,75,POST Login-0,302,,Calendar Day Users 1-1,,true,,400,455,2,2,http://localhost:8080/login,75,0,0
1778502826604,4,POST Login-1,302,,Calendar Day Users 1-1,,true,,356,292,2,2,http://localhost:8080/,4,0,0
1778502826608,19,POST Login-2,200,,Calendar Day Users 1-1,text,true,,36848,301,2,2,http://localhost:8080/dashboard,14,0,0
1778502826628,32,GET Calendar Day,200,,Calendar Day Users 1-1,text,true,,88919,315,2,2,http://localhost:8080/calendar/day/2026-01-20,24,0,0
1778502826661,9,GET Login Page,200,,Calendar Day Users 1-1,text,true,,21823,244,2,2,http://localhost:8080/login,8,0,0
